Woche;Event;Spieltyp;Spielort;TS Einsatz;TS vor dem Spiel;TS nach dem Spiel;TI;FQ;Sportpsychologe;Mittelfeld Heimspiel PIN;Mittelfeld Heimspiel PIC;Mittelfeld Heimspiel MOTS;Mittelfeld Auswärts-Derby PIN;Mittelfeld Auswärts-Derby PIC;Mittelfeld Auswärts-Derby MOTS;Mittelfeld Auswärts PIN;Mittelfeld Auswärts PIC;Mittelfeld Auswärts MOTS;Mittelfeld beim Spiel;Gegner
11;74;;;;7.50;7.50;100;7;0;13.03;10.94;14.59;12.12;10.18;13.57;10.87;9.13;12.17;10.87;-
11;75;;;;7.38;7.38;100;7;0;12.94;10.86;14.48;12.03;10.10;13.47;10.79;9.06;12.08;10.79;-
11;76;;;;7.26;7.26;100;7;0;12.84;10.78;14.38;11.94;10.03;13.37;10.71;8.99;11.99;10.71;-
11;77;;;;7.15;7.15;100;7;0;12.76;10.71;14.28;11.86;9.96;13.28;10.64;8.93;11.91;10.64;-
11;78;;;;7.04;7.04;100;7;0;12.67;10.64;14.19;11.79;9.89;13.19;10.57;8.87;11.83;10.57;-
12;79;;;;6.94;6.94;100;7;0;12.59;10.57;14.10;11.71;9.83;13.11;10.50;8.82;11.76;10.50;-
12;80;;;;6.84;6.84;100;7;0;12.52;10.51;14.01;11.64;9.77;13.03;10.44;8.77;11.69;10.44;-
12;81;;;;6.75;6.75;100;7;0;12.45;10.45;13.93;11.58;9.72;12.96;10.38;8.72;11.62;10.38;-
12;82;;;;6.66;6.66;100;7;0;12.38;10.39;13.86;11.51;9.66;12.89;10.33;8.67;11.56;10.33;-
12;83;;;;6.58;6.58;100;7;0;12.32;10.34;13.78;11.45;9.61;12.82;10.27;8.62;11.50;10.27;-
12;84;;;;6.50;6.50;100;7;0;12.25;10.29;13.72;11.40;9.57;12.76;10.22;8.58;11.44;10.22;-
12;85;;;;6.42;6.42;100;7;0;12.20;10.24;13.65;11.34;9.52;12.69;10.17;8.54;11.39;10.17;-
13;86;;;;6.35;6.35;100;7;0;12.14;10.19;13.59;11.29;9.48;12.64;10.13;8.50;11.33;10.13;-
13;87;;;;6.29;6.29;100;7;0;12.09;10.15;13.53;11.24;9.44;12.58;10.08;8.46;11.29;10.08;-
